fundName,schemeGroupName,changePercent,schemeGroupId,schemeName,schemeId,schemeid,AUM,launchDate,1Day,7Day,15Day,30Day,3Month,6Month,1Year,2Year,3Year,5Year,7Year,10Year,15Year,20Year,25Year,D30Quarter,M3Quarter,M6Quarter,Y1Quarter,Y2Quarter,Y3Quarter,Y5Quarter,Y10Quarter,Y15Quarter,Y20Quarter,sinceInceptionReturn,fundRat,category,currentNav,isRecommended,minAmount,sipMinAmount,sipMinAmountBSE,1YearSIPReturn,3YearSIPReturn,5YearSIPReturn,10YearSIPReturn,15YearSIPReturn,20YearSIPReturn,sinceInceptionSIPReturn,expenseRatio
UTI Mutual Fund,UTI Nifty Next 50 Index Fund,-2.33088,f27f942e1e7331f1c80010047bf30541,UTI Nifty Next 50 Index Fund (G),72916bc30c5b4a3068c02c6dd7109113,72916bc30c5b4a3068c02c6dd7109113,4792,28-06-2018 00:00,-2.3309,-5.47,-3.52,-2.23,-0.77,16.09,61.79,30.38,18.84,22.52,0,0,0,0,0,D,D,A,A,,A,A,A,A,A,16.35,4,Equity: Index,25.8872,0,1000,500,500,63.5927,36.6033,29.2024,,,,24.806,0.79
SBI Mutual Fund,SBI Nifty Next 50 Index Fund,-2.33058,1129b612ee46535cf2f0ff7222fc19f7,SBI Nifty Next 50 Index Fund Reg (G),06f8cb7c9fd2ebe2c42bc846f7751d9f,06f8cb7c9fd2ebe2c42bc846f7751d9f,1311,19-05-2021 00:00,-2.3306,-5.47,-3.52,-2.24,-0.79,16.11,61.77,30.37,18.84,0,0,0,0,0,0,D,D,A,A,,A,B,A,A,A,21.69,4,Equity: Index,19.6715,0,5000,500,500,63.5756,36.5796,,,,,32.5296,0.78
HDFC Mutual Fund,HDFC NIFTY next 50 Index Fund,-2.32975,72bbc8c1968b45c0893c914418fb96c5,HDFC NIFTY next 50 Index Fund (G),8dbbfbc3040bbca6380f0c5700e02816,8dbbfbc3040bbca6380f0c5700e02816,1732,03-11-2021 00:00,-2.3298,-5.47,-3.52,-2.23,-0.79,15.92,61.63,30.24,0,0,0,0,0,0,0,D,D,A,A,,B,B,A,A,A,19.6,0,Equity: Index,16.874,0,0,0,100,63.3566,,,,,,37.4121,0.66
Kotak Mutual Fund,Kotak Nifty Next 50 Index Fund,-2.3269,3963378ed7e532c22bfe7f466e808dd0,Kotak Nifty Next 50 Index Fund Reg (G),2adc44ebb60218d7a72971882340360e,2adc44ebb60218d7a72971882340360e,341,03-03-2021 00:00,-2.3269,-5.47,-3.51,-2.22,-0.77,16.07,61.57,30.26,19.01,0,0,0,0,0,0,D,D,A,A,,A,B,A,A,A,22.52,4,Equity: Index,20.694,0,100,100,100,63.4436,36.6228,,,,,32.2867,0.74
HSBC Mutual Fund,HSBC Nifty Next 50 Index Fund,-2.32542,6db2c713b21a2d4b77f3c4a9e7e36ef5,HSBC Nifty Next 50 Index Fund Reg (G),44e62000bf2047c97b735e8b7e15418d,44e62000bf2047c97b735e8b7e15418d,135,16-04-2020 00:00,-2.3254,-5.46,-3.52,-2.23,-0.8,15.96,61.47,30.19,18.61,0,0,0,0,0,0,D,D,A,A,,A,B,A,A,A,28.43,4,Equity: Index,31.183,0,5000,500,500,63.5306,36.4676,,,,,30.6385,0.8
Motilal Oswal Mutual Fund,Motilal Oswal Nifty Next 50 Index Fund,-2.32961,155c8e8de8072f89463023fcbce6f54e,Motilal Oswal Nifty Next 50 Index Fund Reg (G),88e82cd05482858f0b7f47bc7e6888a2,88e82cd05482858f0b7f47bc7e6888a2,292,23-12-2019 00:00,-2.3296,-5.47,-3.53,-2.26,-0.85,15.93,61.32,30.15,18.62,0,0,0,0,0,0,D,D,A,A,,A,B,A,A,A,21.12,4,Equity: Index,25.0589,0,500,500,500,63.0834,36.332,,,,,29.434,1.03
Edelweiss Mutual Fund,Edelweiss Nifty Next 50 Index Fund,-2.32153,e6a090342231646cdd79ec4fae3d0ecb,Edelweiss Nifty Next 50 Index Fund Reg (G),5c887942c77378ce32113311e8a937ba,5c887942c77378ce32113311e8a937ba,69,30-11-2022 00:00,-2.3214,-5.45,-3.57,-2.29,-0.85,15.98,61.27,0,0,0,0,0,0,0,0,D,D,A,A,,B,B,A,A,A,31.33,0,Equity: Index,16.5776,0,0,0,100,63.3395,,,,,,52.8643,0.79
NAVI Mutual Fund,Navi Nifty Next 50 Index Fund,-2.33196,c3e4e009c11f5c2d16a6448e2af23896,Navi Nifty Next 50 Index Fund Reg (G),4a1ce06d0766a5e1778d3da86b47b57d,4a1ce06d0766a5e1778d3da86b47b57d,604,19-01-2022 00:00,-2.3319,-5.47,-3.62,-2.33,-0.87,16,61.27,30.06,0,0,0,0,0,0,0,D,D,A,A,,B,B,A,A,A,21.36,0,Equity: Index,16.9247,0,10,10,10,63.2391,,,,,,39.6755,0.57
Axis Mutual Fund,Axis Nifty Next 50 Index Fund,-2.30885,4ecb1003170adb4b3671d4cf826bbb2b,Axis Nifty Next 50 Index Fund Reg (G),5ddca86a153015fa76fdeccda4740cde,5ddca86a153015fa76fdeccda4740cde,288,28-01-2022 00:00,-2.3088,-5.43,-3.48,-2.21,-0.8,15.8,61.24,30.04,0,0,0,0,0,0,0,D,D,A,A,,B,B,A,A,A,23.28,0,Equity: Index,17.572,0,500,100,100,63.1527,,,,,,39.7126,1.01
LIC Mutual Fund,LIC MF Nifty Next 50 Index Fund,-2.31945,873976ced9176296131e1f2888894cfc,LIC MF Nifty Next 50 Index Fund (G),3974a823837fd934b02f3aec1fbd6a25,3974a823837fd934b02f3aec1fbd6a25,99,20-09-2010 00:00,-2.3193,-5.43,-3.51,-2.23,-0.83,15.91,61.24,29.98,18.71,22.12,14.11,15.3268,0,0,0,D,D,A,A,,A,A,A,A,A,12.7,4,Equity: Index,54.0024,0,5000,300,1000,62.9178,36.2638,28.8786,18.2769,,,16.9889,0.9
Aditya Birla Sun Life Mutual Fund,Aditya Birla SL Nifty Next 50 Index Fund,-2.33517,174960fb99f30f13aae7851ad8197796,Aditya Birla SL Nifty Next 50 Index Fund Reg (G),d54b52ed52f7b5a577f768e2a97fc354,d54b52ed52f7b5a577f768e2a97fc354,144,18-02-2022 00:00,-2.3351,-5.48,-3.52,-2.24,-0.84,15.86,61.24,29.93,0,0,0,0,0,0,0,D,D,A,A,,B,B,A,A,A,23.63,0,Equity: Index,17.6746,0,100,100,100,63.3555,,,,,,39.8163,0.88
Bandhan Mutual Fund,Bandhan Small Cap Fund,-2.73736,a37d1008da5ee58a547e162ddf7b2acf,Bandhan Small Cap Fund Reg (G),cd04188a45338aa43f8b9da05ee11771,cd04188a45338aa43f8b9da05ee11771,7534,25-02-2020 00:00,-2.7374,-4.9,-4.52,-2.5,8.2,27.62,61.21,45.26,25.57,0,0,0,0,0,0,A,A,A,A,,A,B,B,A,A,38.64,3,Equity: Small Cap,46.12,0,1000,100,100,75.5229,48.2994,,,,,42.512,1.76
Bandhan Mutual Fund,Bandhan Infrastructure Fund,-3.11039,0eda04091d21dc25dfc29b9ce16f0209,Bandhan Infrastructure Fund Reg (G),7e678d46618d3ed6c0581030f963f626,7e678d46618d3ed6c0581030f963f626,1965,08-03-2011 00:00,-3.1103,-5.97,-4.89,-3.87,-6.42,17.03,61.05,46.72,29.95,31.39,17.41,17.7073,0,0,0,C,C,B,A,,A,A,A,A,A,12.96,2,Equity: Sectoral,52.831,0,1000,100,100,64.8166,48.5336,42.0814,23.5534,,,19.464,2.07
ICICI Prudential Mutual Fund,ICICI Pru Balanced Advantage Fund,-0.594901,5b2119417b038dd9dc52009541113957,ICICI Pru Balanced Advantage Fund Reg (G),e64468b65ad116f1d899e0947dd91fb2,e64468b65ad116f1d899e0947dd91fb2,61103,30-12-2006 00:00,-0.5949,-1.75,-1.72,-0.34,3.16,8.45,21.73,16.42,12.79,14.37,11.79,11.5894,12.6885,0,0,B,A,B,B,,A,A,A,A,A,11.48,4,Hybrid: Balanced Advantage,70.18,0,500,100,100,23.6623,17.7304,16.4502,12.9777,13.0461,,12.8055,1.46
Invesco Mutual Fund,Invesco India Focused Fund,-1.81753,387bba1ae34a8119f1e85d4a1f1c4225,Invesco India Focused Fund Reg (G),bf8c8e059c31b5e62bf034c54194ddbe,bf8c8e059c31b5e62bf034c54194ddbe,3080,30-09-2020 00:00,-1.8174,-4.24,-5.81,-0.15,3.45,18.49,59.99,35.92,20.52,0,0,0,0,0,0,A,B,A,A,,A,C,B,B,A,28.63,4,Equity: Focused,27.55,0,1000,500,500,63.7949,38.1144,,,,,32.4374,1.92
SBI Mutual Fund,SBI PSU Fund,-2.98946,89c6c7e2f9287ac774547bc15805d07b,SBI PSU Fund Reg (G),8e3680c256f52ec0ed1c1177c4cb3bfe,8e3680c256f52ec0ed1c1177c4cb3bfe,4851,07-07-2010 00:00,-2.9895,-5.1,-0.6,-2.27,-4.5,8.21,59.73,49.17,34.55,27.32,14.65,13.0108,0,0,0,D,D,C,A,,A,A,A,A,A,8.46,0,Equity: Thematic,32.2042,0,5000,500,500,48.7419,49.9506,39.598,20.6995,,,15.2692,1.87
ICICI Prudential Mutual Fund,ICICI Pru Banking & Financial Services Fund Ret,-1.73387,256de1075f2a635660bf83194a3eaad1,ICICI Pru Banking and Financial Services Fund Reg (G),a8bab2aa6126ca2fb31eaeeb268df78d,a8bab2aa6126ca2fb31eaeeb268df78d,8176,22-08-2008 00:00,-1.7339,-4.53,-5.88,-0.58,1.35,10.64,22.63,19.48,12.26,14.75,10.79,14.6858,15.4776,0,0,B,B,B,B,,B,B,A,A,A,16.76,3,Equity: Sectoral,121.85,0,5000,100,100,33.2103,21.6661,20.5626,15.1317,16.1173,,16.7772,1.84
HDFC Mutual Fund,HDFC Pharma and Healthcare Fund,-1.17852,f5195d5aafadfc73a65afa721e69855f,HDFC Pharma and Healthcare Fund Reg (G),ec5a35c8bc0e20ea16d47a844c6f1fa4,ec5a35c8bc0e20ea16d47a844c6f1fa4,1170,04-10-2023 00:00,-1.1785,-1.77,-0.89,-0.41,16.98,27.25,58.81,0,0,0,0,0,0,0,0,B,A,A,A,,B,B,A,A,A,58.24,0,Equity: Sectoral,15.848,0,0,0,100,67.7684,,,,,,67.7684,2.24
Motilal Oswal Mutual Fund,Motilal Oswal ELSS Tax Saver Fund,-1.70672,6525297f97222ba4f825c5010c3c6bf4,Motilal Oswal ELSS Tax Saver Fund Reg(G),9b5203d549f43037f4effbf3fb491d4c,9b5203d549f43037f4effbf3fb491d4c,3984,21-01-2015 00:00,-1.7067,-4.77,-5.43,-0.44,5.49,22.69,58.55,40.34,24.1,24.85,17.37,0,0,0,0,D,A,A,A,,A,A,C,A,A,18.49,4,Equity: ELSS,52.0169,0,500,1000,500,69.1938,42.123,33.1797,,,,21.9287,1.83
Canara Robeco Mutual Fund,Canara Robeco Infrastructure Fund,-2.19352,de3acb6e021ef27f175324160c72595a,Canara Robeco Infrastructure Fund Reg (G),a314fc94576117598c2afb87b2c58107,a314fc94576117598c2afb87b2c58107,887,02-12-2005 00:00,-2.1935,-5.03,-3.49,-0.56,-4.67,22.03,58.01,39.36,30.01,30.64,18.6,17.375,15.0143,0,0,B,C,A,A,,A,A,A,A,A,15.86,3,Equity: Sectoral,160.52,0,5000,1000,1000,63.6056,43.9031,38.8838,22.735,18.8802,,17.0666,2.27
Quant Mutual Fund,Quant Value Fund,-2.37975,e17603eeb48b69e15dae863e4178779d,Quant Value Fund Reg (G),a2ea4ea8b247da578e53bd71fd1f0ad1,a2ea4ea8b247da578e53bd71fd1f0ad1,2119,30-11-2021 00:00,-2.3797,-5.55,-4.91,-4.75,-3.29,6.12,57.98,38.58,0,0,0,0,0,0,0,C,C,C,A,,C,C,B,B,A,29.02,0,Equity: Value,20.6952,0,5000,1000,1000,49.3082,,,,,,41.9856,1.98
Motilal Oswal Mutual Fund,Motilal Oswal Flexi Cap Fund,-0.355805,48c6554303066805b06fd0bb61ccf72e,Motilal Oswal Flexi Cap Fund Reg (G),c09f2e4848ce591bb15f13366420308a,c09f2e4848ce591bb15f13366420308a,11728,28-04-2014 00:00,-0.3558,-2.48,-2.08,3.45,8.74,23.47,57.9,34.42,19.43,19.19,13.2,16.4847,0,0,0,A,A,A,A,,A,B,A,B,A,19.02,3,Equity: Flexi Cap,61.6957,0,500,500,500,67.5683,37.8583,27.2809,17.4738,,,17.6094,1.74
Franklin Templeton Mutual Fund,Franklin India Opportunities Fund,-1.69219,d0f76116ae24e89b3fafd675c23a1c00,Franklin India Opportunities Fund (G),bffbf33db6800efa467a511d885c13e3,bffbf33db6800efa467a511d885c13e3,5381,21-02-2000 00:00,-1.6922,-4.15,-4.58,-2.65,0.26,20.57,57.75,43.81,25.95,28.96,19.49,17.9073,15.6647,17.6604,0,D,C,A,A,,A,A,A,A,A,13.97,0,Equity: Thematic,247.2473,0,5000,500,500,59.1068,44.915,36.5248,22.3523,19.1632,17.0077,17.8974,1.86
DSP Mutual Fund,DSP India T.I.G.E.R. Fund,-2.34884,401429feac9c130cf4a0295c860770ee,DSP India T.I.G.E.R. Fund Reg (G),1801113015b314b847a7ecd650106290,1801113015b314b847a7ecd650106290,5500,11-06-2004 00:00,-2.3487,-4.75,-3.17,-1.4,-2.67,20.15,57.08,45.34,31.82,30.51,20.03,18.9866,14.7271,18.1977,0,B,B,A,A,,A,A,A,A,A,18.82,3,Equity: Sectoral,331.887,0,100,100,100,60.7994,47.4358,41.317,24.0892,19.5121,17.2744,17.4167,1.87
Quant Mutual Fund,Quant Manufacturing Fund,-1.37421,47ff9c524e1883e672a868ee8f6a7390,Quant Manufacturing Fund Reg (G),46717b1f0ab3284c39686548ab12e4b8,46717b1f0ab3284c39686548ab12e4b8,1067,14-08-2023 00:00,-1.3742,-3.96,-2.85,-2.11,0.38,16.01,56.88,0,0,0,0,0,0,0,0,D,C,B,A,,B,B,A,A,A,58.31,0,Equity: Thematic,16.9662,0,5000,1000,1000,55.8549,,,,,,58.0265,2.17
Quant Mutual Fund,Quant Healthcare Fund,-2.06731,307842b2d440e2c3acf97d2148dbc03a,Quant Healthcare Fund Reg (G),0b7af2664b90de4bf866de0aa5c479db,0b7af2664b90de4bf866de0aa5c479db,432,17-07-2023 00:00,-2.0672,-2.51,-2.15,-3.77,8.31,21.77,56.77,0,0,0,0,0,0,0,0,C,A,A,A,,B,B,A,A,A,51.92,0,Equity: Sectoral,16.7081,0,5000,1000,1000,61.1731,,,,,,59.2918,2.37
Aditya Birla Sun Life Mutual Fund,Aditya Birla SL PSU Equity Fund,-3.09308,464edbe356d8f9eca7cb7fd9c0ae3517,Aditya Birla SL PSU Equity Fund Reg (G),eed0c58ac8cf6dd27dc227aac5f6a566,eed0c58ac8cf6dd27dc227aac5f6a566,5946,30-12-2019 00:00,-3.0931,-5.72,-2.23,-3.59,-6,3.67,56.36,48.93,33.91,0,0,0,0,0,0,D,D,C,A,,A,B,A,A,A,28.93,0,Equity: Thematic,34.15,0,500,100,100,41.9753,48.2567,,,,,41.6424,1.78
Mirae Asset Mutual Fund,Mirae Asset Hang Seng TECH E T F FOF,-0.520553,3df7603e59176406f97c72414de2c457,Mirae Asset Hang Seng TECH E T F FOF Reg (G),ab828782353b9e34386fae7be891de84,ab828782353b9e34386fae7be891de84,67,08-12-2021 00:00,-0.5205,19.08,58.86,61.32,53.54,71.16,55.96,30.21,0,0,0,0,0,0,0,A,A,A,A,,C,B,B,A,A,3.7,0,Equity: Global,11.084,0,5000,99,99,70.1922,,,,,,16.4389,0.53
Invesco Mutual Fund,Invesco India Infrastructure Fund,-2.48046,aeea1b74a26a31b783470fa8523539bf,Invesco India Infrastructure Fund (G),44544d63485a6c43a7dc9007d69703d8,44544d63485a6c43a7dc9007d69703d8,1660,21-11-2007 00:00,-2.4805,-5.35,-4.6,-3.25,-6.7,14.83,55.9,42,28.29,31.96,20.98,18.3067,15.5602,0,0,C,C,B,A,,A,A,A,A,A,11.71,4,Equity: Sectoral,64.87,0,1000,500,500,55.4178,43.7781,38.4684,24.0631,20.131,,18.6866,2.08
UTI Mutual Fund,UTI Nifty200 Momentum 30 Index Fund,-1.92867,97e76d9524215c260b674a8920e939dc,UTI Nifty200 Momentum 30 Index Fund (G),707365be800885da5c15884ae86af318,707365be800885da5c15884ae86af318,7980,10-03-2021 00:00,-1.9287,-5.02,-2.44,-0.76,-1.96,13.54,55.55,35.54,21.24,0,0,0,0,0,0,C,D,B,A,,A,B,A,A,A,27.96,4,Equity: Index,24.1788,0,1000,500,500,53.0754,38.196,,,,,34.2176,0.92
Quant Mutual Fund,Quant Infrastructure Fund,-2.60772,ce168cf96db96379373edd0f108e4e35,Quant Infrastructure Fund (G),8aa4b083f237607eec2e3ff43820dda5,8aa4b083f237607eec2e3ff43820dda5,3991,31-08-2007 00:00,-2.6076,-5.5,-4.43,-2.61,-7.82,1.37,55.13,33.06,27.23,37.73,24.65,20.158,11.6135,0,0,C,C,C,A,,A,A,A,A,A,8.56,4,Equity: Sectoral,40.6268,0,0,1000,1000,42.5708,37.9606,42.6402,27.1923,20.0664,,17.4788,1.87
HDFC Mutual Fund,HDFC Transportation and Logistics Fund,-1.88656,c26baf628713117b0eabb5bea4fdb077,HDFC Transportation and Logistics Fund Reg (G),9148283f1e5bde0e3220ee563f193ddb,9148283f1e5bde0e3220ee563f193ddb,1344,17-08-2023 00:00,-1.8866,-5.11,-4.82,-1.19,-0.69,18.15,55.12,0,0,0,0,0,0,0,0,C,D,A,A,,B,B,A,A,A,51.44,0,Equity: Thematic,16.07,0,100,100,100,61.758,,,,,,61.2541,2.18
Motilal Oswal Mutual Fund,Motilal Oswal Nifty 200 Momentum 30 Index Fund,-1.921,d4fb4bfe57b0eb1b825c84f2bd4c7f66,Motilal Oswal Nifty 200 Momentum 30 Index Fund Reg (G),8c1dd756b7f05287bd2e480a86f469d2,8c1dd756b7f05287bd2e480a86f469d2,831,10-02-2022 00:00,-1.921,-5.01,-2.44,-0.78,-2.01,13.3,55.02,34.96,0,0,0,0,0,0,0,C,D,B,A,,B,B,A,A,A,23.51,0,Equity: Index,17.5276,0,1000,500,500,53.1313,,,,,,42.4794,1
Kotak Mutual Fund,Kotak Quant Fund,-2.08475,32bc4e1f2e95acaf6f1d97cd32009197,Kotak Quant Fund Reg (G),98ebfb99a88c3566d695fcd97b2b519f,98ebfb99a88c3566d695fcd97b2b519f,899,02-08-2023 00:00,-2.0847,-4.48,-1.38,0.89,0.41,14.04,54.96,0,0,0,0,0,0,0,0,A,C,B,A,,B,B,A,A,A,47.4,0,Equity: Thematic,15.828,0,5000,500,500,51.4522,,,,,,52.8932,1.31
Edelweiss Mutual Fund,Edelweiss Mid Cap Fund,-1.78962,16d1fb4054dc1c9dbf0303d8f27eb01e,Edelweiss Mid Cap Fund Reg (G),5b257e0aefc8390c0cea054c81e39a1b,5b257e0aefc8390c0cea054c81e39a1b,7401,26-12-2007 00:00,-1.7896,-4.18,-4.34,-1.09,1.82,22.37,54.73,35.04,23.99,30.84,20.56,20.4479,20.4022,0,0,A,A,A,A,,A,A,A,A,A,14.52,4,Equity: Mid Cap,97.463,0,100,100,100,61.1208,39.5651,35.8527,23.5555,22.3616,,21.7518,1.75
Kotak Mutual Fund,Kotak Nifty 200 Momentum 30 Index Fund,-1.89184,42818afd0d68db2e4b46592e4822a113,Kotak Nifty 200 Momentum 30 Index Fund Reg (G),6e68a6bd006a0cfc0d37a9c88a817a4b,6e68a6bd006a0cfc0d37a9c88a817a4b,339,15-06-2023 00:00,-1.8918,-4.98,-2.4,-0.71,-1.87,14.1,54.71,0,0,0,0,0,0,0,0,C,D,B,A,,B,B,A,A,A,48.73,0,Equity: Index,16.854,0,100,100,100,53.875,,,,,,55.7776,0.89
UTI Mutual Fund,UTI Healthcare Fund,-1.24068,9c8951a6f50a26a1022570dd46352f5c,UTI Healthcare Fund (G),8bcb2ad4dc7ebca9ea800714b6940ba5,8bcb2ad4dc7ebca9ea800714b6940ba5,1168,28-06-1999 00:00,-1.2406,-2.16,-1.08,-0.5,17.02,25.92,54.55,36.39,18.33,30.45,18.87,13.3306,17.0515,0,0,B,A,A,A,,A,A,A,A,A,15.4,3,Equity: Sectoral,283.5233,0,5000,500,500,65.6331,37.2606,28.9931,18.6618,16.938,,16.6383,2.25
ICICI Prudential Mutual Fund,ICICI Pru Banking and PSU Debt Fund,0.03637,768d9a083cc67234ce5685c524375a1d,ICICI Pru Banking and PSU Debt Fund Reg (G),2aa8be09660b6303eb6ce124589867d4,2aa8be09660b6303eb6ce124589867d4,9225,01-01-2010 00:00,0.0364,0.09,0.3,0.57,1.92,3.79,7.77,7.38,6.05,6.69,6.7,7.6292,0,0,0,D,C,C,B,,A,A,A,B,A,7.91,5,Debt: Banking and PSU,30.8061,0,500,100,100,7.8168,7.1019,6.5154,7.0265,,,7.6064,0.74
ICICI Prudential Mutual Fund,ICICI Pru BHARAT 22 FOF,-1.53299,c44b6808549396adbc0724f51851bf58,ICICI Pru BHARAT 22 FOF,c984428841d3ba9a2b8488bee8ee07c3,c984428841d3ba9a2b8488bee8ee07c3,2040,29-06-2018 00:00,-1.5329,-4.34,-1.26,-0.07,0.6,10.94,52.82,47.15,35.24,27.39,0,0,0,0,0,A,B,C,A,,A,A,A,A,A,21.35,5,Equity: Index,33.709,0,5000,1000,1000,46.4311,46.8296,40.8679,,,,32.7647,0.13
