fundName,schemeGroupName,changePercent,schemeGroupId,schemeName,schemeId,schemeid,AUM,launchDate,1Day,7Day,15Day,30Day,3Month,6Month,1Year,2Year,3Year,5Year,7Year,10Year,15Year,20Year,25Year,D30Quarter,M3Quarter,M6Quarter,Y1Quarter,Y2Quarter,Y3Quarter,Y5Quarter,Y10Quarter,Y15Quarter,Y20Quarter,sinceInceptionReturn,fundRat,category,currentNav,isRecommended,minAmount,sipMinAmount,sipMinAmountBSE,1YearSIPReturn,3YearSIPReturn,5YearSIPReturn,10YearSIPReturn,15YearSIPReturn,20YearSIPReturn,sinceInceptionSIPReturn,expenseRatio
ITI Mutual Fund,ITI Pharma and Healthcare Fund,-1.48735,9b55171ce95cfc73105b0bd13ca981fe,ITI Pharma and Healthcare Fund Reg (G),305ac6011d6017ec182334a640d7035c,305ac6011d6017ec182334a640d7035c,202,08-11-2021 00:00,-1.4874,-4.29,-2.01,-3.93,3.83,21.88,45.82,30.24,17.79,0,0,0,0,0,0,B,A,A,A,,A,B,A,A,A,17.8,0,Equity: Sectoral,16.3928,0,0,0,500,59.7722,,,,,,34.9888,2.35
Quant Mutual Fund,Quant Healthcare Fund,-2.45169,307842b2d440e2c3acf97d2148dbc03a,Quant Healthcare Fund Reg (G),0b7af2664b90de4bf866de0aa5c479db,0b7af2664b90de4bf866de0aa5c479db,454,17-07-2023 00:00,-2.4516,-6.97,-1.85,-9.27,-3.57,17.99,45.78,0,0,0,0,0,0,0,0,C,C,A,A,,B,B,A,A,A,40.56,0,Equity: Sectoral,15.7203,0,5000,1000,1000,61.1731,,,,,,59.2918,2.37
ICICI Prudential Mutual Fund,ICICI Pru Nifty Next 50 Index Fund,-1.96899,025ebfb6e669dffa758dc3bbb636b43c,ICICI Pru Nifty Next 50 Index Fund Reg (G),e45719d31d4fa56e6008867cc6e2d351,e45719d31d4fa56e6008867cc6e2d351,7184,25-06-2010 00:00,-1.9689,-5.98,-4.86,-11.29,-6.38,4.26,45.77,24.42,14.92,18.64,12.38,13.9373,0,0,0,D,D,C,A,,A,A,A,A,A,13.08,4,Equity: Index,58.9882,0,100,100,100,63.8671,36.7486,29.2295,18.6685,,,17.2603,0.66
SBI Mutual Fund,SBI Healthcare Opportunities Fund,-1.79167,da6ff87bccbebbb1b1b443e9cc791490,SBI Healthcare Opportunities Fund Reg (G),50fd656cc58827bc4a484838f1d2c41f,50fd656cc58827bc4a484838f1d2c41f,3346,05-07-1999 00:00,-1.7917,-3.86,-0.78,-2.58,6.22,19.16,45.6,35.8,22.63,29.13,18.59,13.2152,18.2571,0,0,A,A,A,A,,A,A,A,A,A,15.84,4,Equity: Sectoral,411.9698,0,5000,500,500,55.1184,36.2567,29.4852,18.6752,18.2825,,17.2619,1.96
DSP Mutual Fund,DSP Nifty Next 50 Index Fund,-1.96994,6868ee80a69cf317032705d37c6410f1,DSP Nifty Next 50 Index Fund Reg (G),2b1d309d5ca1e9a6401f8f24eefbb113,2b1d309d5ca1e9a6401f8f24eefbb113,844,21-02-2019 00:00,-1.9699,-5.97,-4.85,-11.28,-6.36,4.29,45.59,24.52,15.11,18.79,0,0,0,0,0,D,D,C,A,,A,A,A,A,A,18.05,4,Equity: Index,25.8668,0,500,500,100,63.6493,36.8477,29.3897,,,,27.2,0.77
UTI Mutual Fund,UTI Nifty Next 50 Index Fund,-1.96967,f27f942e1e7331f1c80010047bf30541,UTI Nifty Next 50 Index Fund (G),72916bc30c5b4a3068c02c6dd7109113,72916bc30c5b4a3068c02c6dd7109113,4974,28-06-2018 00:00,-1.9697,-5.98,-4.85,-11.3,-6.4,4.19,45.53,24.26,14.83,18.74,0,0,0,0,0,D,D,C,A,,A,A,A,A,A,14.57,4,Equity: Index,23.8299,0,1000,500,500,63.5927,36.6033,29.2024,,,,24.806,0.8
LIC Mutual Fund,LIC MF Healthcare Fund,-1.56463,f37e66d5b3679a038d1a7397e3d6d37a,LIC MF Healthcare Fund (G),d631d30cef51a0ea1a239ada56550d28,d631d30cef51a0ea1a239ada56550d28,75,28-02-2019 00:00,-1.5646,-5.15,-2.26,-4.55,5.24,20.78,45.5,29.39,15.35,23.21,0,0,0,0,0,B,A,A,A,,A,A,A,A,A,20.23,1,Equity: Sectoral,28.94,0,5000,300,200,58.9527,31.3192,23.7566,,,,23.4084,2.44
SBI Mutual Fund,SBI Nifty Next 50 Index Fund,-1.96967,1129b612ee46535cf2f0ff7222fc19f7,SBI Nifty Next 50 Index Fund Reg (G),06f8cb7c9fd2ebe2c42bc846f7751d9f,06f8cb7c9fd2ebe2c42bc846f7751d9f,1415,19-05-2021 00:00,-1.9697,-5.98,-4.86,-11.3,-6.41,4.2,45.49,24.24,14.79,0,0,0,0,0,0,D,D,C,A,,A,B,A,A,A,18.21,4,Equity: Index,18.1063,0,5000,500,500,63.5756,36.5796,,,,,32.5296,0.78
Invesco Mutual Fund,Invesco India Infrastructure Fund,-2.69334,aeea1b74a26a31b783470fa8523539bf,Invesco India Infrastructure Fund (G),44544d63485a6c43a7dc9007d69703d8,44544d63485a6c43a7dc9007d69703d8,1669,21-11-2007 00:00,-2.6932,-5.69,-2.62,-9.13,-5.33,7.42,45.47,37.76,23.65,28.88,19.21,16.8695,15.1128,0,0,C,C,B,A,,A,A,A,A,A,11.31,4,Equity: Sectoral,61.78,0,1000,500,500,55.4178,43.7781,38.4684,24.0631,20.131,,18.6866,2.07
HDFC Mutual Fund,HDFC NIFTY next 50 Index Fund,-1.96947,72bbc8c1968b45c0893c914418fb96c5,HDFC NIFTY next 50 Index Fund (G),8dbbfbc3040bbca6380f0c5700e02816,8dbbfbc3040bbca6380f0c5700e02816,1809,03-11-2021 00:00,-1.9695,-5.98,-4.85,-11.29,-6.38,4.1,45.43,24.12,14.6,0,0,0,0,0,0,D,D,C,A,,A,B,A,A,A,15.69,0,Equity: Index,15.5348,0,0,0,100,63.3566,,,,,,37.4121,0.66
Kotak Mutual Fund,Kotak Nifty Next 50 Index Fund,-1.97311,3963378ed7e532c22bfe7f466e808dd0,Kotak Nifty Next 50 Index Fund Reg (G),2adc44ebb60218d7a72971882340360e,2adc44ebb60218d7a72971882340360e,360,03-03-2021 00:00,-1.9731,-5.98,-4.85,-11.28,-6.38,4.25,45.39,24.13,14.98,0,0,0,0,0,0,D,D,C,A,,A,B,A,A,A,19.13,4,Equity: Index,19.0528,0,100,100,100,63.4436,36.6228,,,,,32.2867,0.74
HSBC Mutual Fund,HSBC Nifty Next 50 Index Fund,-1.96619,6db2c713b21a2d4b77f3c4a9e7e36ef5,HSBC Nifty Next 50 Index Fund Reg (G),44e62000bf2047c97b735e8b7e15418d,44e62000bf2047c97b735e8b7e15418d,140,16-04-2020 00:00,-1.9662,-5.98,-4.85,-11.29,-6.41,4.1,45.27,24.08,14.59,0,0,0,0,0,0,D,D,C,A,,A,B,A,A,A,25.47,4,Equity: Index,28.7043,0,5000,500,500,63.5306,36.4676,,,,,30.6385,0.8
Motilal Oswal Mutual Fund,Motilal Oswal Nifty Next 50 Index Fund,-1.96945,155c8e8de8072f89463023fcbce6f54e,Motilal Oswal Nifty Next 50 Index Fund Reg (G),88e82cd05482858f0b7f47bc7e6888a2,88e82cd05482858f0b7f47bc7e6888a2,309,23-12-2019 00:00,-1.9695,-5.98,-4.86,-11.31,-6.45,4.04,45.1,24.02,14.6,0,0,0,0,0,0,D,D,C,A,,A,B,A,A,A,18.61,4,Equity: Index,23.061,0,500,500,500,63.0834,36.332,,,,,29.434,1.03
Axis Mutual Fund,Axis Nifty Next 50 Index Fund,-1.959,4ecb1003170adb4b3671d4cf826bbb2b,Axis Nifty Next 50 Index Fund Reg (G),5ddca86a153015fa76fdeccda4740cde,5ddca86a153015fa76fdeccda4740cde,294,28-01-2022 00:00,-1.959,-5.96,-4.84,-11.26,-6.38,3.93,45.09,23.96,0,0,0,0,0,0,0,D,D,C,A,,B,B,A,A,A,18.79,0,Equity: Index,16.18,0,500,100,100,63.1527,,,,,,39.7126,1.02
Edelweiss Mutual Fund,Edelweiss Nifty Next 50 Index Fund,-1.95787,e6a090342231646cdd79ec4fae3d0ecb,Edelweiss Nifty Next 50 Index Fund Reg (G),5c887942c77378ce32113311e8a937ba,5c887942c77378ce32113311e8a937ba,78,30-11-2022 00:00,-1.9579,-5.96,-4.86,-11.3,-6.49,4.1,45.08,0,0,0,0,0,0,0,0,D,D,C,A,,B,B,A,A,A,24.11,0,Equity: Index,15.2581,0,0,0,100,63.3395,,,,,,52.8643,0.79
NAVI Mutual Fund,Navi Nifty Next 50 Index Fund,-1.96989,c3e4e009c11f5c2d16a6448e2af23896,Navi Nifty Next 50 Index Fund Reg (G),4a1ce06d0766a5e1778d3da86b47b57d,4a1ce06d0766a5e1778d3da86b47b57d,660,19-01-2022 00:00,-1.9699,-5.98,-4.85,-11.29,-6.48,4.12,45.06,23.94,0,0,0,0,0,0,0,D,D,C,A,,B,B,A,A,A,17.04,0,Equity: Index,15.5812,0,10,10,10,63.2391,,,,,,39.6755,0.57
LIC Mutual Fund,LIC MF Nifty Next 50 Index Fund,-1.9632,873976ced9176296131e1f2888894cfc,LIC MF Nifty Next 50 Index Fund (G),3974a823837fd934b02f3aec1fbd6a25,3974a823837fd934b02f3aec1fbd6a25,101,20-09-2010 00:00,-1.9632,-5.97,-4.86,-11.28,-6.44,4.06,45.06,23.88,14.7,18.39,12.08,13.4444,0,0,0,D,D,C,A,,A,A,A,A,A,11.95,4,Equity: Index,49.7075,0,5000,300,200,62.9178,36.2638,28.8786,18.2769,,,16.9889,0.9
Aditya Birla Sun Life Mutual Fund,Aditya Birla SL Nifty Next 50 Index Fund,-1.96497,174960fb99f30f13aae7851ad8197796,Aditya Birla SL Nifty Next 50 Index Fund Reg (G),d54b52ed52f7b5a577f768e2a97fc354,d54b52ed52f7b5a577f768e2a97fc354,159,18-02-2022 00:00,-1.9649,-5.97,-4.84,-11.29,-6.45,4.11,45.06,23.85,0,0,0,0,0,0,0,D,D,C,A,,B,B,A,A,A,19.09,0,Equity: Index,16.2696,0,100,100,100,63.3555,,,,,,39.8163,0.88
Bandhan Mutual Fund,Bandhan US Equity Fund OF Fund,-0.032654,7efbc501ac2e1e7cfa8d6336adb898ad,Bandhan US Equity Fund OF Fund Reg (G),7eeece18fffcc1eab9c2f1456194fa1f,7eeece18fffcc1eab9c2f1456194fa1f,318,20-08-2021 00:00,-0.0327,3.6,3.68,3.26,12.8,17.89,44.68,32.84,13.51,0,0,0,0,0,0,A,A,A,A,,A,B,B,A,A,13.79,0,Equity: Global,15.307,0,0,0,100,34.1221,24.0463,,,,,22.1254,1.59
LIC Mutual Fund,LIC MF Dividend Yield Fund,-2.27577,222b65c0feffb34c0bac8133f7e99b1a,LIC MF Dividend Yield Fund (G),75eeb128ea6f91a6ea168c8f94017729,75eeb128ea6f91a6ea168c8f94017729,436,21-12-2018 00:00,-2.2757,-5.99,-3.31,-9.12,-3.69,12.14,44.63,29.04,17.9,22.3,0,0,0,0,0,D,C,A,A,,B,B,C,B,B,19.73,0,Equity: Dividend Yield,29.2,0,5000,300,200,61.3288,37.3414,30.6263,,,,28.3436,2.49
Aditya Birla Sun Life Mutual Fund,Aditya Birla SL PSU Equity Fund,-2.05998,464edbe356d8f9eca7cb7fd9c0ae3517,Aditya Birla SL PSU Equity Fund Reg (G),eed0c58ac8cf6dd27dc227aac5f6a566,eed0c58ac8cf6dd27dc227aac5f6a566,5896,30-12-2019 00:00,-2.06,-5.88,-3.26,-7.79,-8.59,-1.43,43.94,39.16,31.24,0,0,0,0,0,0,B,D,D,A,,A,A,A,A,A,26.85,0,Equity: Thematic,32.33,0,500,100,100,41.9753,48.2567,,,,,41.6424,1.79
Edelweiss Mutual Fund,Edelweiss Mid Cap Fund,-2.34277,16d1fb4054dc1c9dbf0303d8f27eb01e,Edelweiss Mid Cap Fund Reg (G),5b257e0aefc8390c0cea054c81e39a1b,5b257e0aefc8390c0cea054c81e39a1b,7401,26-12-2007 00:00,-2.3428,-4.82,-3.32,-7.85,0.48,19.42,43.86,32.72,21.59,29.01,19.17,18.8901,19.8712,0,0,A,A,A,A,,A,A,A,A,A,14.21,4,Equity: Mid Cap,94.457,0,100,100,100,61.1208,39.5651,35.8527,23.5555,22.3616,,21.7518,1.72
Tata Mutual Fund,Tata Digital India Fund,-0.937303,ed3e30f5cce78d1265007498af58c465,Tata Digital India Fund Reg Plan (G),7b155d7a2174a047aaa077da6e13e066,7b155d7a2174a047aaa077da6e13e066,12052,28-12-2015 00:00,-0.9373,-0.95,0.44,-2.52,7.64,27.25,43.83,26.13,10.1,28.63,25.81,0,0,0,0,A,A,A,A,,B,A,A,A,A,20.38,0,Equity: Sectoral,51.9779,0,5000,100,100,46.8461,25.2095,27.9627,,,,24.6897,1.66
Motilal Oswal Mutual Fund,Motilal Oswal Flexi Cap Fund,-2.08949,48c6554303066805b06fd0bb61ccf72e,Motilal Oswal Flexi Cap Fund Reg (G),c09f2e4848ce591bb15f13366420308a,c09f2e4848ce591bb15f13366420308a,12564,28-04-2014 00:00,-2.0895,-4.74,-3.86,-9.27,3.34,16.97,43.75,29.68,17.53,16.71,12.37,15.0325,0,0,0,D,A,A,A,,A,B,A,B,A,18.15,3,Equity: Flexi Cap,58.1468,0,500,500,500,67.5683,37.8583,27.2809,17.4738,,,17.6094,1.74
Invesco Mutual Fund,Invesco India Mid Cap Fund,-2.16143,6ab6bdc532a0a97a6532dd77015d3a89,Invesco India Mid Cap Fund (G),2d837980f98f758a385c6e3292980f5e,2d837980f98f758a385c6e3292980f5e,5904,19-04-2007 00:00,-2.1613,-4.49,-2.09,-8.08,1.77,18.31,43.7,32.55,20.14,26.68,18.79,17.7643,19.4319,0,0,B,A,A,A,,A,A,A,A,A,17.01,3,Equity: Mid Cap,158.43,0,1000,500,500,65.2916,39.4104,33.7647,22.6475,21.4396,,20.7674,1.82
ICICI Prudential Mutual Fund,ICICI Pru Infrastructure Fund,-2.02193,2da66689995395da564e8f60519cb3b5,ICICI Pru Infrastructure Fund Reg (G),46c38820cc94005e25e42ed5f890191a,46c38820cc94005e25e42ed5f890191a,6424,31-08-2005 00:00,-2.0219,-5.22,-3.33,-6.89,-2.44,7.13,43.52,36.61,29.63,30.19,18.96,16.37,13.4539,0,0,C,C,B,A,,A,A,A,A,A,16.36,5,Equity: Sectoral,183.17,0,5000,100,100,53.9454,45.7855,42.627,24.5108,19.1505,,16.8469,1.9
HDFC Mutual Fund,HDFC Technology Fund,-0.827498,33da5766cc2d2d6826b19cb9998142dd,HDFC Technology Fund Reg (G),9e667ee6101dfa27dee66fa4bd7f2e21,9e667ee6101dfa27dee66fa4bd7f2e21,1340,08-09-2023 00:00,-0.8275,-1.57,-0.7,-3.13,5.81,27.43,43.43,0,0,0,0,0,0,0,0,A,A,A,A,,B,B,A,A,A,33.06,0,Equity: Sectoral,14.022,0,100,100,100,53.2174,,,,,,51.1714,2.18
ICICI Prudential Mutual Fund,ICICI Pru Innovation Fund,-1.61197,b34dd04f4d6182df6eddd2e383e8353b,ICICI Pru Innovation Fund Reg (G),f5929e6b6bcd128b4ea7b34fb9dd3236,f5929e6b6bcd128b4ea7b34fb9dd3236,6654,27-04-2023 00:00,-1.612,-3.66,-2.9,-7.12,-2.45,9.48,42.89,0,0,0,0,0,0,0,0,B,B,A,A,,B,A,A,A,A,41.37,0,Equity: Thematic,17.09,0,5000,500,100,56.0811,,,,,,55.0469,1.82
